capacity_bytes,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_240_raw,smart_241_raw,smart_242_raw,model
4000787030016,224021133.0,35.0,60856.0,724057664.0,57877.0,33.0,27.0,0.0,14270.0,27.0,57582.0,70938819608.0,364923785010.0,ST4000DM000
12000138625024,46300568.0,5.0,0.0,194372084.0,9000.0,5.0,33.0,1.0,633.0,33.0,8846.0,34181826872.0,114305194133.0,ST12000NM0008
4000787030016,140967360.0,68.0,1624.0,795956357.0,57587.0,66.0,28.0,39.0,10113.0,28.0,57467.0,70750304920.0,366234037412.0,ST4000DM000
14000519643136,92844432.0,27.0,64.0,594118268.0,9733.0,25.0,30.0,48.0,490.0,30.0,9677.0,72394519455.0,118128642821.0,ST14000NM0138
500107862016,336.0,37.0,0.0,0.0,47007.0,56.0,0.0,13.0,0.0,37.0,0.0,0.0,0.0,ST500LM012 HN
12000138625024,164751000.0,15.0,0.0,151487785.0,23556.0,15.0,28.0,323.0,1420.0,28.0,23289.0,87660268400.0,252104551106.0,ST12000NM0007
12000138625024,40571664.0,5.0,1120.0,794083670.0,18741.0,5.0,32.0,0.0,2037.0,32.0,18388.0,72379029200.0,424489124916.0,ST12000NM0008
16000900661248,96740896.0,9.0,0.0,594190139.0,9705.0,9.0,35.0,0.0,1443.0,35.0,9270.0,67103464624.0,120006924966.0,ST16000NM001G
12000138625024,125253752.0,12.0,2368.0,733893568.0,18830.0,12.0,46.0,2.0,2688.0,46.0,18286.0,72088107296.0,405821661882.0,ST12000NM0008
16000900661248,21837808.0,3.0,0.0,499830218.0,9687.0,3.0,28.0,0.0,1362.0,28.0,9291.0,66739264536.0,119808008296.0,ST16000NM001G
16000900661248,0.0,29.0,0.0,0.0,5834.0,29.0,0.0,28.0,75.0,32.0,0.0,0.0,0.0,TOSHIBA MG08ACA16TE
16000900661248,80361256.0,3.0,0.0,123033992.0,10728.0,3.0,25.0,1.0,4001.0,25.0,9323.0,61150285760.0,117155239658.0,ST16000NM001G
16000900661248,37408368.0,2.0,16.0,112814741.0,7461.0,2.0,28.0,0.0,2275.0,28.0,6628.0,60944805696.0,83878854500.0,ST16000NM001G
250059350016,0.0,0.0,0.0,0.0,20409.0,8.0,0.0,2.0,0.0,38.0,0.0,44830.0,29215.0,Seagate BarraCuda SSD ZA250CM10002
12000138625024,36388648.0,8.0,16.0,776994807.0,20422.0,7.0,23.0,2.0,1147.0,23.0,20254.0,72491139360.0,322809991470.0,ST12000NM0008
4000787030016,0.0,10.0,0.0,0.0,42649.0,9.0,0.0,232.0,232.0,27.0,0.0,0.0,0.0,HGST HMS5C4040BLE640
4000787030016,8650775.0,285.0,141.0,0.0,50981.0,29.0,0.0,706.0,707.0,31.0,0.0,0.0,0.0,HGST HMS5C4040BLE640
16000900661248,0.0,22.0,0.0,0.0,2960.0,22.0,0.0,21.0,1070.0,31.0,0.0,0.0,0.0,TOSHIBA MG08ACA16TE
12000138625024,58136744.0,19.0,44320.0,66557216.0,21676.0,19.0,34.0,288.0,1590.0,34.0,21435.0,84975493064.0,275678765668.0,ST12000NM0007
12000138625024,213282896.0,6.0,7272.0,589048613.0,17927.0,5.0,28.0,1.0,2743.0,28.0,17391.0,70305263400.0,325416717108.0,ST12000NM0008
4000787030016,167391432.0,15.0,0.0,477518379.0,55793.0,15.0,22.0,2.0,8628.0,22.0,55724.0,67985514640.0,333821297585.0,ST4000DM000
8001563222016,75517896.0,20.0,43456.0,1836902583.0,40362.0,20.0,40.0,79.0,23961.0,40.0,40318.0,75042593888.0,468408236518.0,ST8000NM0055
12000138625024,18496656.0,4.0,16.0,256973842.0,8763.0,4.0,26.0,2.0,571.0,26.0,8659.0,29141164464.0,110040552729.0,ST12000NM001G
14000519643136,217136352.0,26.0,0.0,793024464.0,11586.0,24.0,31.0,51.0,4266.0,31.0,10298.0,76447622923.0,158389939857.0,ST14000NM0138
8001563222016,77378264.0,12.0,40.0,1741580269.0,39712.0,12.0,36.0,65.0,25482.0,36.0,39671.0,72385172904.0,418273768062.0,ST8000NM0055
14000519643136,16592704.0,31.0,2512.0,603252028.0,10775.0,29.0,36.0,63.0,4174.0,36.0,9484.0,78969708087.0,114895859683.0,ST14000NM0138
4000787030016,38753224.0,15.0,2640.0,321355595.0,64753.0,15.0,27.0,0.0,9171.0,27.0,64644.0,72123909488.0,459934427382.0,ST4000DM000
500107862016,71.0,19.0,0.0,0.0,52341.0,20.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,ST500LM012 HN
8001563222016,73479680.0,29.0,3592.0,2943398694.0,55467.0,29.0,37.0,25.0,74580.0,37.0,55391.0,101615132056.0,423486442478.0,ST8000DM002
8001563222016,6342482.0,9.0,21096.0,1755868397.0,52306.0,8.0,32.0,35.0,69145.0,32.0,52186.0,96455255272.0,406269171292.0,ST8000NM0055
8001563222016,152177474.0,49.0,6472.0,1684063948.0,51078.0,48.0,25.0,61.0,76216.0,25.0,50961.0,99100337504.0,421390261640.0,ST8000NM0055
12000138625024,0.0,4.0,0.0,0.0,16397.0,4.0,0.0,1653.0,1653.0,29.0,0.0,0.0,0.0,HGST HUH721212ALE604
8001563222016,222175968.0,11.0,16272.0,1191263262.0,48622.0,11.0,34.0,5.0,76777.0,34.0,48562.0,87303929448.0,414126368444.0,ST8000NM0055
8001563222016,10176776.0,13.0,8312.0,8499430875.0,48638.0,13.0,37.0,19.0,64464.0,37.0,48574.0,89025118280.0,436267258058.0,ST8000NM0055
12000138625024,0.0,38.0,41.0,0.0,35186.0,38.0,0.0,1360.0,1360.0,32.0,0.0,0.0,0.0,HGST HUH721212ALN604
12000138625024,131074.0,5.0,32.0,0.0,33815.0,5.0,0.0,1281.0,1281.0,34.0,0.0,0.0,0.0,HGST HUH721212ALN604
16000900661248,36612112.0,2.0,5032.0,960082709.0,15623.0,2.0,30.0,0.0,3556.0,30.0,14882.0,76822880136.0,229366988892.0,ST16000NM001G
500107862016,0.0,8.0,0.0,0.0,39433.0,8.0,0.0,3.0,524.0,33.0,0.0,0.0,0.0,TOSHIBA MQ01ABF050M
14000519643136,0.0,2.0,0.0,0.0,8917.0,1.0,0.0,0.0,97.0,25.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
12000138625024,101170080.0,8.0,0.0,796986695.0,17781.0,7.0,31.0,2.0,2311.0,31.0,17298.0,70874167040.0,416777390882.0,ST12000NM0008
8001563222016,106566896.0,13.0,5024.0,1505109541.0,41659.0,13.0,27.0,5.0,57674.0,27.0,41612.0,84932407888.0,308511377800.0,ST8000NM0055
500107862016,240.0,16.0,0.0,0.0,43262.0,16.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,ST500LM012 HN
14000519643136,19060152.0,49.0,0.0,869886162.0,11477.0,48.0,31.0,57.0,4895.0,31.0,10000.0,75684056105.0,169941741150.0,ST14000NM0138
14000519643136,174531816.0,28.0,128.0,891448496.0,10529.0,26.0,26.0,51.0,1855.0,26.0,9735.0,80137924493.0,171502912896.0,ST14000NM0138
14000519643136,0.0,11.0,0.0,0.0,14347.0,9.0,0.0,3.0,105.0,22.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
4000787030016,243407200.0,13.0,0.0,133158775.0,53809.0,13.0,23.0,0.0,10504.0,23.0,53715.0,62024316640.0,332074517912.0,ST4000DM000
